[0.39] In camera.cpp Camera::Initialize - device found 
[0.39] In main.cpp Camera Connection Initialized 
[0.39] Initializing FSM DAC - Commanding DAC_FULL_RESET =  2621441 
[0.39] fsmWrite - channel =  8 , data =  40 
[0.39] fsmWrite - channel =  9 , data =  0 
[0.39] fsmWrite - channel =  10 , data =  1 
[0.39] Initializing FSM DAC - Commanding DAC_ENABLE_INTERNAL_REFERENCE =  3670017 
[0.39] fsmWrite - channel =  8 , data =  56 
[0.39] fsmWrite - channel =  9 , data =  0 
[0.39] fsmWrite - channel =  10 , data =  1 
[0.39] Initializing FSM DAC - Commanding DAC_ENABLE_ALL_DAC_CHANNELS =  2097167 
[0.39] fsmWrite - channel =  8 , data =  32 
[0.39] fsmWrite - channel =  9 , data =  0 
[0.39] fsmWrite - channel =  10 , data =  15 
[0.39] Initializing FSM DAC - Commanding DAC_ENABLE_SOFTWARE_LDAC =  3145728 
[0.39] fsmWrite - channel =  8 , data =  48 
[0.40] fsmWrite - channel =  9 , data =  0 
[0.40] fsmWrite - channel =  10 , data =  0 
[0.40] Initializing FSM DAC - Commanding Normalized Angles to (0,0). 
[0.40] fsmWrite - channel =  8 , data =  0 
[0.40] fsmWrite - channel =  9 , data =  85 
[0.40] fsmWrite - channel =  10 , data =  240 
[0.40] fsmWrite - channel =  8 , data =  1 
[0.40] fsmWrite - channel =  9 , data =  85 
[0.40] fsmWrite - channel =  10 , data =  240 
[0.40] fsmWrite - channel =  8 , data =  3 
[0.40] fsmWrite - channel =  9 , data =  85 
[0.40] fsmWrite - channel =  10 , data =  240 
[0.40] fsmWrite - channel =  8 , data =  18 
[0.40] fsmWrite - channel =  9 , data =  85 
[0.40] fsmWrite - channel =  10 , data =  240 
[0.40] In main.cpp - Standing by for command... 
[0.40] In main.cpp - Received CMD_CALIB_TEST command. 
[0.46] In calibration.cpp Calibration::findExposureRange - Looking for calib expo range, starting with max 1000 us at [ 1526.63843 , 812.26426 ] with smoothing 0 
[0.46] In calibration.cpp Calibration::findExposureRange - Found preferred exposure: 100 us, 0 dB 
[0.47] In processing.cpp logImage - Saving image telemetry as:  2020-12-15-21-30-10_CALIBRATION_Start_exp_100.png 
[0.73] In calibration.cpp Calibration::run - Pair 0 [ 1526.68398 , 812.33566 ] for FSM [ 0.00000 , 0.00000 ] 
[0.73] fsmWrite - channel =  8 , data =  0 
[0.73] fsmWrite - channel =  9 , data =  86 
[0.73] fsmWrite - channel =  10 , data =  81 
[0.73] fsmWrite - channel =  8 , data =  1 
[0.73] fsmWrite - channel =  9 , data =  85 
[0.73] fsmWrite - channel =  10 , data =  143 
[0.73] fsmWrite - channel =  8 , data =  3 
[0.73] fsmWrite - channel =  9 , data =  86 
[0.73] fsmWrite - channel =  10 , data =  15 
[0.73] fsmWrite - channel =  8 , data =  18 
[0.73] fsmWrite - channel =  9 , data =  85 
[0.73] fsmWrite - channel =  10 , data =  209 
[0.74] fsmWrite - channel =  8 , data =  0 
[0.74] fsmWrite - channel =  9 , data =  86 
[0.74] fsmWrite - channel =  10 , data =  149 
[0.74] fsmWrite - channel =  8 , data =  1 
[0.74] fsmWrite - channel =  9 , data =  85 
[0.74] fsmWrite - channel =  10 , data =  75 
[0.74] fsmWrite - channel =  8 , data =  3 
[0.74] fsmWrite - channel =  9 , data =  86 
[0.74] fsmWrite - channel =  10 , data =  103 
[0.74] fsmWrite - channel =  8 , data =  18 
[0.74] fsmWrite - channel =  9 , data =  85 
[0.74] fsmWrite - channel =  10 , data =  121 
[0.75] fsmWrite - channel =  8 , data =  0 
[0.75] fsmWrite - channel =  9 , data =  86 
[0.75] fsmWrite - channel =  10 , data =  163 
[0.75] fsmWrite - channel =  8 , data =  1 
[0.75] fsmWrite - channel =  9 , data =  85 
[0.75] fsmWrite - channel =  10 , data =  61 
[0.75] fsmWrite - channel =  8 , data =  3 
[0.75] fsmWrite - channel =  9 , data =  86 
[0.75] fsmWrite - channel =  10 , data =  231 
[0.75] fsmWrite - channel =  8 , data =  18 
[0.75] fsmWrite - channel =  9 , data =  84 
[0.75] fsmWrite - channel =  10 , data =  249 
[0.76] fsmWrite - channel =  8 , data =  0 
[0.76] fsmWrite - channel =  9 , data =  86 
[0.76] fsmWrite - channel =  10 , data =  110 
[0.76] fsmWrite - channel =  8 , data =  1 
[0.76] fsmWrite - channel =  9 , data =  85 
[0.76] fsmWrite - channel =  10 , data =  114 
[0.76] fsmWrite - channel =  8 , data =  3 
[0.76] fsmWrite - channel =  9 , data =  87 
[0.76] fsmWrite - channel =  10 , data =  116 
[0.76] fsmWrite - channel =  8 , data =  18 
[0.77] fsmWrite - channel =  9 , data =  84 
[0.77] fsmWrite - channel =  10 , data =  108 
[0.77] fsmWrite - channel =  8 , data =  0 
[0.77] fsmWrite - channel =  9 , data =  85 
[0.77] fsmWrite - channel =  10 , data =  240 
[0.77] fsmWrite - channel =  8 , data =  1 
[0.77] fsmWrite - channel =  9 , data =  85 
[0.77] fsmWrite - channel =  10 , data =  240 
[0.77] fsmWrite - channel =  8 , data =  3 
[0.77] fsmWrite - channel =  9 , data =  87 
[0.78] fsmWrite - channel =  10 , data =  238 
[0.78] fsmWrite - channel =  8 , data =  18 
[0.78] fsmWrite - channel =  9 , data =  83 
[0.78] fsmWrite - channel =  10 , data =  242 
[0.78] fsmWrite - channel =  8 , data =  0 
[0.78] fsmWrite - channel =  9 , data =  85 
[0.78] fsmWrite - channel =  10 , data =  51 
[0.78] fsmWrite - channel =  8 , data =  1 
[0.79] fsmWrite - channel =  9 , data =  86 
[0.79] fsmWrite - channel =  10 , data =  173 
[0.79] fsmWrite - channel =  8 , data =  3 
[0.79] fsmWrite - channel =  9 , data =  88 
[0.79] fsmWrite - channel =  10 , data =  54 
[0.79] fsmWrite - channel =  8 , data =  18 
[0.79] fsmWrite - channel =  9 , data =  83 
[0.79] fsmWrite - channel =  10 , data =  170 
[0.79] fsmWrite - channel =  8 , data =  0 
[0.79] fsmWrite - channel =  9 , data =  84 
[0.79] fsmWrite - channel =  10 , data =  77 
[0.80] fsmWrite - channel =  8 , data =  1 
[0.80] fsmWrite - channel =  9 , data =  87 
[0.80] fsmWrite - channel =  10 , data =  147 
[0.80] fsmWrite - channel =  8 , data =  3 
[0.80] fsmWrite - channel =  9 , data =  88 
[0.80] fsmWrite - channel =  10 , data =  49 
[0.80] fsmWrite - channel =  8 , data =  18 
[0.80] fsmWrite - channel =  9 , data =  83 
[0.80] fsmWrite - channel =  10 , data =  175 
[0.80] fsmWrite - channel =  8 , data =  0 
[0.81] fsmWrite - channel =  9 , data =  83 
[0.81] fsmWrite - channel =  10 , data =  92 
[0.81] fsmWrite - channel =  8 , data =  1 
[0.81] fsmWrite - channel =  9 , data =  88 
[0.81] fsmWrite - channel =  10 , data =  132 
[0.81] fsmWrite - channel =  8 , data =  3 
[0.81] fsmWrite - channel =  9 , data =  87 
[0.81] fsmWrite - channel =  10 , data =  207 
[0.81] fsmWrite - channel =  8 , data =  18 
[0.81] fsmWrite - channel =  9 , data =  84 
[0.81] fsmWrite - channel =  10 , data =  17 
[0.82] fsmWrite - channel =  8 , data =  0 
[0.82] fsmWrite - channel =  9 , data =  82 
[0.82] fsmWrite - channel =  10 , data =  135 
[0.82] fsmWrite - channel =  8 , data =  1 
[0.82] fsmWrite - channel =  9 , data =  89 
[0.82] fsmWrite - channel =  10 , data =  89 
[0.82] fsmWrite - channel =  8 , data =  3 
[0.82] fsmWrite - channel =  9 , data =  87 
[0.82] fsmWrite - channel =  10 , data =  11 
[0.82] fsmWrite - channel =  8 , data =  18 
[0.82] fsmWrite - channel =  9 , data =  84 
[0.82] fsmWrite - channel =  10 , data =  213 
[0.83] fsmWrite - channel =  8 , data =  0 
[0.83] fsmWrite - channel =  9 , data =  81 
[0.83] fsmWrite - channel =  10 , data =  244 
[0.83] fsmWrite - channel =  8 , data =  1 
[0.83] fsmWrite - channel =  9 , data =  89 
[0.83] fsmWrite - channel =  10 , data =  236 
[0.83] fsmWrite - channel =  8 , data =  3 
[0.83] fsmWrite - channel =  9 , data =  85 
[0.83] fsmWrite - channel =  10 , data =  240 
[0.83] fsmWrite - channel =  8 , data =  18 
[0.83] fsmWrite - channel =  9 , data =  85 
[0.83] fsmWrite - channel =  10 , data =  240 
[0.84] In calibration.cpp Calibration::run - Pair 10 [ 1546.66447 , 812.63284 ] for FSM [ -0.03000 , -0.00000 ] 
[0.84] fsmWrite - channel =  8 , data =  0 
